fonts-dejavu-core	2.37-8	all	fonts-dejavu-core_2.37-8_all.deb	86635b3d25b3655fc11cb3ecc3af59f0bf19643b02b94f2de48bd10253cdba12
fonts-dejavu-mono	2.37-8	all	fonts-dejavu-mono_2.37-8_all.deb	3003e98a5debfdeadc7040a7f715fe9fe6fb67f68deacf6049b54e30f07fc014
fuse3	3.17.2-3	amd64	fuse3_3.17.2-3_amd64.deb	4866550a235224b538a66fcaf95c8a796b6968d21c6f231086e142350b302eea
gcc-14-base	14.2.0-19	amd64	gcc-14-base_14.2.0-19_amd64.deb	5b6825de4263824b78c4c51f6476414f3b4e89c2ab63e81dc8b9b5501e867cf6
gettext-base	0.23.1-2	amd64	gettext-base_0.23.1-2_amd64.deb	1a3dfadd661520ff01d379fd89cd0d49972a5a775d490609f1712134ee3d62ca
gnupg	2.4.7-21+deb13u1	all	gnupg_2.4.7-21+deb13u1_all.deb	e68f0fd24a7a62f1112ae3e442564e134f21040492f11d1aefa7b18de93ebf6e
gnupg-l10n	2.4.7-21+deb13u1	all	gnupg-l10n_2.4.7-21+deb13u1_all.deb	65c0b5b06123f81f08cfa9b0be313cbc9cf6255c550d70eabd8b175ce8928a35
gpg	2.4.7-21+deb13u1+b5	amd64	gpg_2.4.7-21+deb13u1+b5_amd64.deb	3aeedf3d223e5e6aff08f03227af6ce308f4317472609f383350fd2ec20d33ae
gpg-agent	2.4.7-21+deb13u1+b5	amd64	gpg-agent_2.4.7-21+deb13u1+b5_amd64.deb	ebc440c05dd5c5ba35f0b0035d7653866ce26c47c826ffbb5a3440773f28da03
gpgconf	2.4.7-21+deb13u1+b5	amd64	gpgconf_2.4.7-21+deb13u1+b5_amd64.deb	14668f3f4847d2544bdff03c2ca8dbdd2fe0ad1bc7ded00941db291954c60f1b
gpgsm	2.4.7-21+deb13u1+b5	amd64	gpgsm_2.4.7-21+deb13u1+b5_amd64.deb	092f4675a1810ca7b51a1d53595f9e0c3ab65210c15805749e91030769e2301b
grep	3.11-4	amd64	grep_3.11-4_amd64.deb	2d78ed07d86a530ebf538f05cb2415f37c8daf908596bc32fc2563cc7e88c55a
grub-common	2.12-9+deb13u2	amd64	grub-common_2.12-9+deb13u2_amd64.deb	a59d34a52e98450165ffc05b75886e139ad77b9d851d25b11eaa973cbdcb3bdd
init-system-helpers	1.69~deb13u1	all	init-system-helpers_1.69~deb13u1_all.deb	addf78073e1cbc5a5508937e11d2571055e29835e00ee8fab52a66775649378f
kded6	6.13.0-1	amd64	kded6_6.13.0-1_amd64.deb	e7e704c56418ac3f28844565fcdfd1f65072b21c87b468c39fef0d924c6dc70c
keyutils	1.6.3-6	amd64	keyutils_1.6.3-6_amd64.deb	1ea627932e5ea824b208b8426a918dec7fbf3073a369d19e82e994fbc5f9f151
kio6	6.13.0-6	amd64	kio6_6.13.0-6_amd64.deb	c7ea2bbeab2de82c69a50cbdd42fb59cee056a2a421ed9e08c05c9ba04c71ac5
kwallet6	6.13.0-1	amd64	kwallet6_6.13.0-1_amd64.deb	cd34049121d305f2af37bb3a48e3b85b188d508ac82f943cd2a0bfafc81dec2c
libacl1	2.3.2-2+b1	amd64	libacl1_2.3.2-2+b1_amd64.deb	08074f01e384bc07c0c2d79a58cf4a6523f71cf75d1808101c79617656c9a39d
libaom3	3.12.1-1+deb13u1	amd64	libaom3_3.12.1-1+deb13u1_amd64.deb	743eec7c94ae30295bc557ebac3dfae948e7390e89a2743c585d56297e9d312e
libapparmor1	4.1.0-1	amd64	libapparmor1_4.1.0-1_amd64.deb	4158976c77038b93021967f425b4cc505df18c4f5e3f444732399e7ed4af4419
libasound2-data	1.2.14-1+deb13u1	all	libasound2-data_1.2.14-1+deb13u1_all.deb	04688afdff3769c0f685541daed7b2f6f0cb946799ddf1d5847ddf11fe245559
libasound2t64	1.2.14-1+deb13u1	amd64	libasound2t64_1.2.14-1+deb13u1_amd64.deb	5495496142d57e5ad6d581ac5456ec3c87f872c109a2bfb815d154b673eebc67
libassuan9	3.0.2-2	amd64	libassuan9_3.0.2-2_amd64.deb	9d78ef8f016e7f24b5e20d1ce91939fe0f1f897e5f9059793201e930ded7eb8e
libasyncns0	0.8-6+b5	amd64	libasyncns0_0.8-6+b5_amd64.deb	e7958777b0e3586349c57ac759a95b68f80d28e5bd1c4225705198b39b436115
libatomic1	14.2.0-19	amd64	libatomic1_14.2.0-19_amd64.deb	212b399aae2f7299203d261a57e49372e09565a9a5ea971905f94a3960366c05
libattr1	1:2.5.2-3	amd64	libattr1_1%3a2.5.2-3_amd64.deb	606b5ee12ea2786be607a17f40c1fb5e65c76ceaff66665bdf8f8c6c1b71d1fb
libaudit-common	1:4.0.2-2+deb13u1	all	libaudit-common_1%3a4.0.2-2+deb13u1_all.deb	b9d32e5ff04fd747aacb7d6b3ebbbbf734ddefb2f1695f0b1b2a4b5e51b1052e
libaudit1	1:4.0.2-2+deb13u1	amd64	libaudit1_1%3a4.0.2-2+deb13u1_amd64.deb	3d1dd3f031a56f01b747e2acc0e14575212580e6fa63d800c44cb0a31f1edfd7
libavahi-client3	0.8-16	amd64	libavahi-client3_0.8-16_amd64.deb	27df3f1c0190d13ec6d014c5515c2ec8e9a49d0983f48fc9e5756ee4e62d7e37
libavahi-common-data	0.8-16	amd64	libavahi-common-data_0.8-16_amd64.deb	a3c0cb1326ed60cbbef133c31af28759f7a922d886d001a138d52bbf0af908d6
libavahi-common3	0.8-16	amd64	libavahi-common3_0.8-16_amd64.deb	fb092fc55f1c7f3db0ac64467f30ebae8145543570b8e99f17ce84cf1dd28bb6
libavcodec61	7:7.1.5-0+deb13u1	amd64	libavcodec61_7%3a7.1.5-0+deb13u1_amd64.deb	6c07da16b276827973463bdd22607721df1c2877641c753d2418cf6bf49a0f2e
libavformat61	7:7.1.5-0+deb13u1	amd64	libavformat61_7%3a7.1.5-0+deb13u1_amd64.deb	4b580060cebbd33a25589ba71074e3106caf2826bcdb82cf8936b52960f34fb2
libavutil59	7:7.1.5-0+deb13u1	amd64	libavutil59_7%3a7.1.5-0+deb13u1_amd64.deb	bb5fe4ea1eef338c8346bf67cc728dac20b94451ad31db391d03d1f2b3fa37c1
libb2-1	0.98.1-1.1+b2	amd64	libb2-1_0.98.1-1.1+b2_amd64.deb	66bc1be2bffaa14efd2633d357ebb8672096aab63bcd38fc12e7b37183d956c9
libblkid1	2.41.5-0+deb13u1	amd64	libblkid1_2.41.5-0+deb13u1_amd64.deb	81535f3c2c0efc732965907c8749103a0a26377c761622c9ce39b4c92dcde52f
libbluray2	1:1.3.4-1+b2	amd64	libbluray2_1%3a1.3.4-1+b2_amd64.deb	82f9e58e8dfdfeb57b273111433c335500c26553eb82f2a025e94ed9fdae2c21
